Timestamp,What is your age range？,What is your gender?,How likely are you to purchase this product?,What would most likely be your next step?,"If you did not purchase this product, how likely would you regret it later?",How much do you currently need a new pair of earbuds?,Have you purchased similar products in the past 3 months?,How likely are you to purchase this product?,What would most likely be your next step?,"If you did not purchase this product, how likely would you regret it later?",How much do you currently need a new pair of shoes?,Have you purchased similar products in the past 3 months?,How likely are you to purchase this product?,What would most likely be your next step?,"If you did not purchase this product, how likely would you regret it later?",How much do you currently need a new water bottle?,Have you purchased similar products in the past 3 months?
2/24/2026 10:22:23,18–24,Male,1,Do nothing,1,7,No,1,Do nothing,1,1,Yes,1,Do nothing,1,1,No
2/24/2026 10:23:01,18–24,Male,4,Buy now,2,3,Maybe,3,Do nothing,2,2,Yes,3,Add to cart / save for later,2,4,No
2/24/2026 10:23:57,18–24,Male,3,Compare with other options first,3,4,No,5,Add to cart / save for later,4,4,No,4,Add to cart / save for later,4,4,No
2/24/2026 10:24:08,18–24,Male,5,Compare with other options first,5,1,No,6,Compare with other options first,4,2,No,1,Do nothing,1,1,No
2/24/2026 10:24:16,18–24,Male,5,Compare with other options first,4,3,No,6,Add to cart / save for later,3,2,Yes,2,Do nothing,1,1,No
2/24/2026 10:24:52,18–24,Female,2,Do nothing,1,2,Yes,1,Do nothing,1,7,Yes,1,Do nothing,1,3,Yes
2/24/2026 10:26:01,18–24,Male,3,Compare with other options first,1,7,No,2,Compare with other options first,1,3,Yes,3,Compare with other options first,5,4,No
2/24/2026 10:28:30,18–24,Female,2,Do nothing,2,1,No,4,Add to cart / save for later,4,4,No,1,Do nothing,1,1,No
2/24/2026 10:29:34,25–34,Male,1,Do nothing,1,1,No,3,Compare with other options first,3,5,No,1,Do nothing,1,1,Yes
2/24/2026 10:29:39,18–24,Male,2,Add to cart / save for later,5,1,No,2,Compare with other options first,4,4,Yes,6,Compare with other options first,3,4,No
2/24/2026 10:33:01,25–34,Female,2,Compare with other options first,2,1,No,1,Do nothing,1,1,Yes,1,Compare with other options first,1,1,No
2/24/2026 11:03:20,18–24,Male,4,Compare with other options first,2,2,Yes,1,Do nothing,1,4,Yes,4,Compare with other options first,3,2,Yes
2/24/2026 11:04:31,35–44,Male,2,Compare with other options first,2,1,No,1,Do nothing,1,1,No,5,Compare with other options first,4,4,No
2/24/2026 11:13:46,25–34,Female,1,Compare with other options first,1,4,No,7,Compare with other options first,4,5,Yes,1,Do nothing,1,2,No
2/24/2026 13:58:44,25–34,Female,2,Do nothing,1,2,No,1,Do nothing,1,5,No,1,Do nothing,1,1,Yes
2/24/2026 13:59:07,25–34,Male,2,Compare with other options first,1,2,No,3,Do nothing,2,5,Yes,6,Add to cart / save for later,5,3,No
2/24/2026 13:59:57,18–24,Female,7,Compare with other options first,3,1,Yes,3,Compare with other options first,3,1,No,4,Add to cart / save for later,3,4,Yes
2/24/2026 15:18:59,18–24,Male,4,Compare with other options first,1,7,No,5,Buy now,5,1,Yes,1,Do nothing,1,1,No
2/24/2026 15:29:29,18–24,Male,3,Add to cart / save for later,3,3,No,2,Compare with other options first,2,2,No,4,Add to cart / save for later,2,3,No
2/24/2026 19:43:03,18–24,Female,5,Add to cart / save for later,4,7,Yes,3,Do nothing,7,4,Maybe,3,Do nothing,2,7,No
2/24/2026 19:59:20,18–24,Male,3,Compare with other options first,1,3,Yes,5,Compare with other options first,2,6,Yes,1,Do nothing,1,1,No
2/24/2026 20:19:10,18–24,Male,1,Do nothing,1,1,No,3,Add to cart / save for later,3,5,No,4,Compare with other options first,5,3,No
2/24/2026 22:08:51,18–24,Male,3,Compare with other options first,2,6,No,1,Do nothing,1,4,Yes,1,Do nothing,1,1,Yes
2/24/2026 23:09:33,18–24,Female,5,Compare with other options first,5,5,Yes,6,Buy now,5,4,No,3,Add to cart / save for later,3,2,Yes
2/24/2026 23:18:18,18–24,Male,6,Add to cart / save for later,2,3,No,5,Buy now,1,7,No,5,Add to cart / save for later,3,4,No
2/25/2026 15:14:30,18–24,Female,5,Add to cart / save for later,3,2,Yes,1,Do nothing,1,1,No,3,Add to cart / save for later,2,2,No
2/25/2026 15:23:40,25–34,Male,3,Do nothing,1,5,No,4,Do nothing,2,2,No,4,Add to cart / save for later,2,4,No
2/25/2026 15:23:42,18–24,Male,4,Do nothing,2,2,No,1,Do nothing,1,5,Yes,2,Do nothing,3,2,No
2/25/2026 15:29:47,18–24,Male,1,Compare with other options first,1,1,Yes,3,Compare with other options first,1,1,Yes,1,Do nothing,1,1,No
2/25/2026 15:43:03,18–24,Female,1,Compare with other options first,1,3,Yes,1,Do nothing,1,1,Yes,1,Do nothing,1,1,Yes
2/25/2026 15:49:02,18–24,Female,1,Do nothing,1,1,Yes,1,Do nothing,1,1,No,1,Do nothing,1,1,No
2/25/2026 15:54:11,18–24,Female,2,Add to cart / save for later,1,2,Maybe,5,Compare with other options first,5,6,No,2,Do nothing,3,4,No
2/25/2026 16:13:25,18–24,Female,2,Do nothing,1,5,Yes,2,Do nothing,1,4,No,1,Do nothing,2,4,No
2/25/2026 16:31:07,18–24,Male,1,Do nothing,1,1,No,4,Buy now,3,3,Yes,1,Do nothing,1,1,No
2/25/2026 16:45:53,18–24,Male,2,Do nothing,1,1,No,1,Compare with other options first,1,1,Yes,3,Compare with other options first,1,1,Yes
2/25/2026 16:45:59,18–24,Female,3,Compare with other options first,4,4,No,5,Add to cart / save for later,5,5,No,3,Add to cart / save for later,4,4,No
2/25/2026 17:23:22,18–24,Male,3,Compare with other options first,4,2,No,5,Add to cart / save for later,4,4,Yes,3,Add to cart / save for later,4,3,No
2/25/2026 18:06:25,18–24,Male,1,Do nothing,1,1,No,1,Do nothing,1,1,No,1,Do nothing,1,1,No
2/25/2026 18:35:30,18–24,Male,4,Compare with other options first,1,4,No,3,Add to cart / save for later,4,1,Yes,5,Do nothing,3,6,Yes
2/25/2026 18:37:54,18–24,Male,3,Add to cart / save for later,1,1,No,1,Do nothing,1,1,No,1,Do nothing,1,1,No
2/25/2026 18:51:39,18–24,Male,1,Do nothing,1,1,Yes,1,Do nothing,1,5,No,1,Do nothing,1,1,No
2/25/2026 21:19:57,25–34,Male,4,Compare with other options first,1,1,No,4,Compare with other options first,3,1,No,1,Do nothing,1,1,No
2/26/2026 10:16:09,18–24,Male,1,Do nothing,1,1,No,2,Compare with other options first,2,2,No,4,Compare with other options first,4,3,No
2/26/2026 10:18:52,18–24,Female,3,Add to cart / save for later,4,4,Yes,4,Compare with other options first,4,4,Yes,3,Buy now,4,4,No